央视台,#genre#
CCTV+ 1,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV+ 2,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8
CCTV-1,http://69.30.245.50/live/cctv1.m3u8
CCTV-1,http://198.204.240.250:82/live/cctv1.m3u8
CCTV-1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-1,https://liveplay-srs.voc.com.cn/hls/tv/134_180adf.m3u8
CCTV-10,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV-10,https://cdn4.skygo.mn/live/disk1/CCTV-10/HLSv3-FTA/CCTV-10.m3u8
CCTV-11,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV-11,https://xykt-fix.github.io/play/a02b/index.m3u8
CCTV-12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-13,http://go.bkpcp.top/mg/cctv13
CCTV-13,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV-14,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV-15,https://xykt-fix.github.io/play/a02e/index.m3u8
CCTV-15,http://74.91.26.218:82/live/cctv15hd.m3u8
CCTV-16,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV-17,http://74.91.26.218:82/live/cctv17hd.m3u8
CCTV-2,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV-3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-4 America,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-4 America,https://h5cul1yar48um3t.wcetv.com/hls/cctv4.m3u8
CCTV-4 Asia,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV-4 Asia,https://streams.comclark.com/pknsd/cctv_4/playlist.m3u8
CCTV-4 Europe,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8
CCTV-4K,http://198.204.240.250:82/live/cctv4k.m3u8
CCTV-5+,https://myip.pdtvhd.com/Sports/streams/CCTV5pul.m3u8
CCTV-6,http://69.30.245.50/live/cctv6.m3u8
CCTV-6,http://198.204.240.250:82/live/cctv6.m3u8
CCTV-6,https://live.eac-news.com/CCTV/streams/cctv6.m3u8
CCTV-7,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV-8,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV-8K,http://192.151.150.154/live/cctv8k.m3u8
CCTV-8K,http://198.204.240.250:82/live/cctv8k.m3u8
CCTV-9,https://xykt-fix.github.io/Y77.m3u8
CCTV-Billiards,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
CCTV-Culture of Quality,http://38.75.136.137:98/gslb/dsdqpub/ysjp.m3u8?auth=testpub
CCTV-Golf & Tennis,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
CCTV-Health,http://38.75.136.137:98/gslb/dsdqpub/wsjk.m3u8?auth=testpub
CCTV-Nostalgia Theater,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTV-Storm Football,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
CCTV-Storm Music,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
CCTV-Storm Theater,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
CCTV-The First Theater,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
CCTV-Weapon & Technology,http://38.75.136.137:98/gslb/dsdqpub/gfjs.m3u8?auth=testpub
CCTV-Women's Fashion,http://223.110.245.169/PLTV/4/224/3221227026/index.m3u8
CCTV-Women's Fashion,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
CCTV-World Geography,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
卫视台,#genre#
Beijing Satellite TV,http://go.bkpcp.top/mg/bjws
Beijing Satellite TV,http://ivi.bupt.edu.cn/hls/btv1.m3u8
Beijing Satellite TV,http://14.152.88.77/liveplay-kk.rtxapp.com/live/program/live/bjwshd/4000000/mnf.m3u8
Bingtuan Satellite TV,http://112.25.48.68/live/program/live/btws/1300000/mnf.m3u8
Guangdong Satellite TV,https://h5cul1yar48um3t.wcetv.com/hls/gdsatellite.m3u8
Jiangsu Satellite TV,http://183.207.248.71/cntv/live1/HD-2500k-1080P-jiangsustv/HD-2500k-1080P-jiangsustv
Jiangsu Satellite TV,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
Jiangsu Satellite TV,http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
Jiangsu Satellite TV,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8
Jiangsu Satellite TV,http://112.25.48.68/live/program/live/jswshd/4000000/mnf.m3u8
Jiangsu Satellite TV,http://117.169.120.140:8080/live/hdjiangsustv/.m3u8
Jiangsu Satellite TV,http://183.207.248.71/cntv/live1/jiangsustv/jiangsustv
Jiangsu Satellite TV,http://183.207.249.34/PLTV/4/224/3221227402/index.m3u8
Jiangsu Satellite TV,http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221227439/index.m3u8
Jiangsu Satellite TV,http://223.110.245.170/PLTV/3/224/3221227255/index.m3u8
Jiangsu Satellite TV,http://183.207.248.71/gitv/live1/JSWS-HD/JSWS-HD
Ningxia Satellite Channel,http://183.207.248.71/gitv/live1/G_NINGXIA/G_NINGXIA
Ningxia Satellite Channel,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8
Ningxia Satellite Channel,http://117.169.120.140:8080/live/ningxiastv/.m3u8
Ningxia Satellite Channel,http://183.207.248.11/PLTV/4/224/3221225842/index.m3u8
Ningxia Satellite Channel,http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225842/index.m3u8
Ningxia Satellite Channel,http://112.25.48.68/live/program/live/nxws/1300000/mnf.m3u8
Shandong Satellite TV,http://125.210.152.18:9090/live/SDWSHD_H265.m3u8
Shenzhen Satellite TV,https://livepull-tcms.sztv.com.cn/live/sz4Kpgm.m3u8
Shenzhen Satellite TV,http://183.207.248.71/cntv/live1/HD-2500k-1080P-shenzhenstv/HD-2500k-1080P-shenzhenstv
Shenzhen Satellite TV,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
Shenzhen Satellite TV,http://39.134.39.39/PLTV/88888888/224/3221226199/index.m3u8
Shenzhen Satellite TV,http://39.134.115.163:8080/PLTV/88888910/224/3221225700/index.m3u8
Shenzhen Satellite TV,http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8
Shenzhen Satellite TV,http://39.135.138.59:18890/PLTV/88888910/224/3221225741/index.m3u8
Shenzhen Satellite TV,http://112.25.48.68/live/program/live/szwshd/4000000/mnf.m3u8
Shenzhen Satellite TV,http://117.169.120.140:8080/live/hdshenzhenstv/.m3u8
Shenzhen Satellite TV,http://183.207.249.37/PLTV/4/224/3221227307/index.m3u8
Shenzhen Satellite TV,http://223.110.243.171/PLTV/3/224/3221227217/index.m3u8
Shenzhen Satellite TV,http://223.110.245.139/PLTV/4/224/3221227307/index.m3u8
Sichuan Satellite TV,http://39.134.115.163:8080/PLTV/88888910/224/3221225733/index.m3u8
Sichuan Satellite TV,http://183.207.248.71/gitv/live1/SCWS/SCWS
Sichuan Satellite TV,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221225814/index.m3u8
Sichuan Satellite TV,http://112.25.48.68/live/program/live/scws/1300000/mnf.m3u8
Sichuan Satellite TV,http://125.210.152.18:9090/live/SCWSHD_H265.m3u8
Yanbian Satellite TV,http://scgctvshow.sctv.com/hdlive/kangba/1.m3u8
Yanbian Satellite TV,http://223.110.245.139/PLTV/4/224/3221227008/index.m3u8
Yanbian Satellite TV,http://223.110.245.139/PLTV/4/224/3221227002/index.m3u8
Yanbian Satellite TV,http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221227002/index.m3u8
Yunnan Satellite TV,https://hwapi.yunshicloud.com/8xughf/e0bx15.m3u8
